Beschwerde, -1
bettlägerig, -1
arbeitsunfähig, -1
Unfall, -1
Erdölkrise, -1
vollstopfen, -1
Schweinegrippe, -1
abwenden, 1
gelingen, 1
Erfolg, 1
Problem, -1
drakonisch, -1
Zahlungsunfähigkeit, -1
Steuereinnahmen, 1
Plünderung, -1
goldig, 1
Bedrohlichkeit, -1
Abgestumpftheit, -1
aufgeblasen, -1
Gnade, 1
Händel, -1
expressiv, 1
ausgrenzen, -1
geständig, 1
ausharren, 1
angeben, 1
aufmüpfig, -1
Insektenstich, -1
Neueinstellung, 1
ungefährdet, 1
Denkzettel, -1
zärtlich, 1
unglaubhaft, -1
Schmu, -1
glückreich, 1
Gewalttätigkeit, -1
Endzeitstimmung, -1
blutig, -1
andersartig, -1
Bergarbeiterstreik, -1
pittoresk, -1
polemisch, -1
behumpsen, -1
Aura, 1
Versteckspiel, -1
Hassliebe, -1
arm, -1
Fehde, -1
Nesselfieber, -1
Schizophrenie, -1
Friedensgespräch, 1
Energieverlust, -1
Schockiertheit, -1
Geilheit, -1
linkisch, -1
edel, 1
Bequemlichkeit, -1
autistische_Störung, -1
Verschulden, -1
unbewährt, -1
hofieren, 1
gewogen, 1
Rabatz, -1
Abriss, -1
keuchen, -1
behaglich, 1
verprellen, -1
böse, -1
Beinbruch, -1
schrankenlos, 1
ausschließen, -1
Beschämung, -1
Muffe, -1
Zweikampf, -1
unterentwickelt, -1
Verschleierung, -1
verunklaren, -1
abrechnen, -1
Traumatherapie, 1
befördern, 1
Harmlosigkeit, -1
beeindrucken, 1
abgerissen, -1
marktbeherrschend, 1
spinnen, -1
unausgebildet, -1
untersagen, -1
hirnlos, -1
verstohlen, -1
unattraktiv, -1
entgegenstellen, -1
Vorwurf, -1
mauscheln, -1
Kokainabhangigkeit, -1
unabhängig, 1
erbeben, -1
verdeutlichen, 1
Rage, -1
Versieglung, 1
intolerant, -1
grundlos, -1
mäßigen, 1
Unredlichkeit, -1
dechiffrieren, 1
down, -1
fidel, 1
Zahnerkrankung, -1
brummeln, -1
Zweifelhaftigkeit, -1
Ikonoklasmus, -1
Mordlust, -1
Schlamperei, -1
bestimmt, -1
Handlungsfähigkeit, 1
Augenweide, 1
umweltfeindlich, -1
abgespannt, -1
klug, 1
Lieblingsobjekt, 1
rührselig, -1
Leiden, -1
rauswerfen, -1
niederschmetternd, -1
Flugerlaubnis, 1
Faszination, 1
Verwirrspiel, -1
Zahngeschwür, -1
fördernd, 1
vergesslich, -1
Verbrechensrate, -1
unterentwickelt, -1
motiviert, 1
Rachsucht, -1
geringfügig, -1
bestreiten, -1
entzünden, -1
geheim_halten, -1
chancenreich, 1
Frauenhaß, -1
Abschreckung, -1
verschüchtert, -1
schulmeistern, -1
hinreichend, 1
klar, 1
pickelig, -1
achtlos, -1
Sachzwang, -1
Augendienerei, 1
sinnfrei, -1
Cholera, -1
traumatisch, -1
Überdruß, -1
überschnappen, -1
emotionslos, -1
übermäßig, -1
Verzweiflungshandlung, -1
verblichen, -1
bodenlos, -1
Diabetes, -1
habilitiert_werden, 1
Wildheit, -1
zart_besaitet, -1
gesundheitsabträglich, 1
skurril, -1
Tief, -1
Hilfsaktion, 1
gepflegt, 1
erbarmen, 1
verhindert, -1
lamentieren, -1
unansprechbar, -1
unflätig, -1
Gestalttherapie, 1
terroristisch, -1
Preisfreigabe, 1
Mattigkeit, -1
kompetent, 1
Fremdenhaß, -1
kranken, -1
Absichtlichkeit, -1
mitgenommen, -1
Weinerlichkeit, -1
Gleichheitsgrundsatz, 1
Verlassenheit, -1
meckern, -1
überstrapazieren, -1
behämmert, -1
Terrorakt, -1
Furcht_erregend, -1
ausgehungert, -1
verklauseln, 1
Steuererhöhung, 1
stilecht, 1
Ehrfurcht, 1
traumatisierend, -1
verantworten, 1
bevormunden, -1
Gehirnwäsche, -1
verschärft, -1
bestürzen, -1
Verkrüppelung, -1
Inhaftnahme, -1
Behaglichkeit, 1
unpraktisch, -1
Irritieren, -1
Wißbegierde, 1
Bürgersinn, 1
eindämmen, -1
verantworten, -1
Krampf, -1
anmaßen, -1
altklug, -1
Kreativität, 1
Aufdringlichkeit, -1
Bombenkrieg, -1
Fieber, -1
präzisieren, 1
Sprengstoffattentat, -1
unbeholfen, -1
scherzen, 1
verdeckt, -1
Reisethrombose, -1
Zwang, -1
Hodenkrebs, -1
stiefmütterlich, -1
Moskitostich, -1
Kostensteigerung, 1
Stehvermögen, 1
Beklommenheit, -1
blessiert, -1
Verwundung, -1
klagen, -1
beschimpfen, -1
fürbitten, 1
Parteigründung, 1
Müllwirtschaft, -1
Freiwilligkeit, 1
egoistisch, -1
fingieren, -1
renommiert, 1
sprachbegabt, 1
Sodbrennen, -1
umschmeicheln, 1
unauffindbar, -1
selbständig, 1
Verliebtsein, 1
überglücklich, 1
Selbstmitleid, -1
Habgier, -1
verloren, -1
milliardenschwer, 1
Selbstmordanschlag, -1
dekorieren, 1
entfremden, -1
Schluckauf, -1
kompromissbereit, 1
Ruhestörung, -1
Abschuß, -1
bankrott, -1
seelig, 1
Verzückung, 1
drastisch, -1
friedenserhaltend, 1
abweisen, -1
Massenhysterie, -1
vergelten, -1
verbessern, 1
achten, 1
Penalty, -1
würdevoll, 1
Gebietsreform, 1
bewundert, 1
bändigen, 1
Unvermögen, -1
